time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe
2026-02-16 10:00:00,68552.5,68639.5,68511.5,68511.5,1171,3050,0,Hydra,M15
2026-02-16 10:15:00,68511.5,68714.5,68503.5,68699.5,1022,3050,0,Hydra,M15
2026-02-16 10:30:00,68699.5,68739.5,68598.5,68732.5,1120,3050,0,Hydra,M15
2026-02-16 10:45:00,68732.5,68774.5,68647.5,68731.5,981,3150,0,Hydra,M15
2026-02-16 11:00:00,68731.5,68930.5,68712.5,68853.5,1352,3050,0,Hydra,M15
2026-02-16 11:15:00,68857.5,68947.5,68770.5,68934.5,1201,3050,0,Hydra,M15
2026-02-16 11:30:00,68934.5,69031.5,68841.5,68993.5,1226,3050,0,Hydra,M15
2026-02-16 11:45:00,68993.5,69012.5,68908.5,68961.5,676,3150,0,Hydra,M15
2026-02-16 12:00:00,68960.5,68961.5,68809.5,68922.5,905,3150,0,Hydra,M15
2026-02-16 12:15:00,68922.5,68923.5,68658.5,68772.5,948,3150,0,Hydra,M15
2026-02-16 12:30:00,68765.5,68906.5,68707.5,68756.5,1047,3150,0,Hydra,M15
2026-02-16 12:45:00,68755.5,68815.5,68725.5,68761.5,914,3150,0,Hydra,M15
2026-02-16 13:00:00,68761.5,68828.5,68432.5,68491.5,1386,3150,0,Hydra,M15
2026-02-16 13:15:00,68487.5,68663.5,68303.5,68634.5,1810,3150,0,Hydra,M15
2026-02-16 13:30:00,68630.5,68689.5,68526.5,68544.5,1302,3150,0,Hydra,M15
2026-02-16 13:45:00,68545.5,68888.5,68536.5,68779.5,1505,3150,0,Hydra,M15
2026-02-16 14:00:00,68780.5,68957.5,68771.5,68874.5,1438,3150,0,Hydra,M15
2026-02-16 14:15:00,68877.5,69568.5,68764.5,69468.5,1628,3050,0,Hydra,M15
2026-02-16 14:30:00,69466.5,69522.5,69252.5,69403.5,2131,3050,0,Hydra,M15
2026-02-16 14:45:00,69391.5,69808.5,69336.5,69731.5,2044,3050,0,Hydra,M15
2026-02-16 15:00:00,69728.5,70092.5,69587.5,69628.5,2187,3050,0,Hydra,M15
2026-02-16 15:15:00,69628.5,69727.5,68478.5,68617.5,2128,3050,0,Hydra,M15
2026-02-16 15:30:00,68588.5,68852.5,68226.5,68403.5,2400,3050,0,Hydra,M15
2026-02-16 15:45:00,68405.5,68467.5,68181.5,68359.5,2034,3050,0,Hydra,M15
2026-02-16 16:00:00,68358.5,68520.5,68188.5,68378.5,2002,3050,0,Hydra,M15
2026-02-16 16:15:00,68377.5,68613.5,68213.5,68271.5,2094,3050,0,Hydra,M15
2026-02-16 16:30:00,68276.5,68596.5,68246.5,68462.5,2230,3050,0,Hydra,M15
2026-02-16 16:45:00,68472.5,68681.5,68208.5,68369.5,1879,3050,0,Hydra,M15
2026-02-16 17:00:00,68370.5,68554.5,68255.5,68291.5,2006,3050,0,Hydra,M15
2026-02-16 17:15:00,68296.5,68356.5,68171.5,68195.5,2050,3050,0,Hydra,M15
2026-02-16 17:30:00,68194.5,68214.5,67234.5,67410.5,2536,3050,0,Hydra,M15
2026-02-16 17:45:00,67409.5,67676.5,67307.5,67499.5,2152,3050,0,Hydra,M15
2026-02-16 18:00:00,67505.5,67801.5,67452.5,67690.5,2253,3050,0,Hydra,M15
2026-02-16 18:15:00,67695.5,67759.5,67531.5,67728.5,2018,3050,0,Hydra,M15
2026-02-16 18:30:00,67728.5,67848.5,67557.5,67848.5,1975,3050,0,Hydra,M15
2026-02-16 18:45:00,67869.5,67926.5,67748.5,67840.5,1826,3050,0,Hydra,M15
2026-02-16 19:00:00,67840.5,67940.5,67653.5,67700.5,1825,3050,0,Hydra,M15
2026-02-16 19:15:00,67702.5,67936.5,67553.5,67885.5,1520,3050,0,Hydra,M15
2026-02-16 19:30:00,67889.5,68034.5,67848.5,67985.5,1757,3050,0,Hydra,M15
2026-02-16 19:45:00,67984.5,67988.5,67845.5,67900.5,1452,3050,0,Hydra,M15
2026-02-16 20:00:00,67904.5,68128.5,67865.5,68085.5,1461,3050,0,Hydra,M15
2026-02-16 20:15:00,68082.5,68199.5,67988.5,68087.5,1417,3050,0,Hydra,M15
2026-02-16 20:30:00,68089.5,68104.5,67914.5,67956.5,1393,3050,0,Hydra,M15
2026-02-16 20:45:00,67958.5,67997.5,67784.5,67815.5,1163,3050,0,Hydra,M15
2026-02-16 21:00:00,67817.5,67941.5,67817.5,67941.5,1047,3050,0,Hydra,M15
2026-02-16 21:15:00,67940.5,67996.5,67778.5,67923.5,1149,3050,0,Hydra,M15
2026-02-16 21:30:00,67940.5,68087.5,67923.5,68046.5,1114,3050,0,Hydra,M15
2026-02-16 21:45:00,68045.5,68071.5,67849.5,67866.5,938,3050,0,Hydra,M15
2026-02-16 22:00:00,67867.5,67917.5,67779.5,67917.5,1027,3050,0,Hydra,M15
2026-02-16 22:15:00,67920.5,68187.5,67875.5,68179.5,1208,3050,0,Hydra,M15
2026-02-16 22:30:00,68181.5,68240.5,68053.5,68194.5,1194,3050,0,Hydra,M15
2026-02-16 22:45:00,68193.5,68515.5,68145.5,68479.5,1471,3050,0,Hydra,M15
2026-02-16 23:00:00,68480.5,68549.5,68378.5,68534.5,1555,3050,0,Hydra,M15
2026-02-16 23:15:00,68535.5,68588.5,68423.5,68499.5,1609,3050,0,Hydra,M15
2026-02-16 23:30:00,68499.5,68546.5,68418.5,68509.5,1240,3050,0,Hydra,M15
2026-02-16 23:45:00,68514.5,68896.5,68410.5,68856.5,1204,3050,0,Hydra,M15
2026-02-17 00:00:00,68831.5,68868.62,68633.5,68723.5,887,2851,0,Hydra,M15
2026-02-17 00:15:00,68723.5,68790.5,68543.5,68575.5,1080,3050,0,Hydra,M15
2026-02-17 00:30:00,68577.5,68701.5,68479.5,68565.5,766,3050,0,Hydra,M15
2026-02-17 00:45:00,68565.5,68639.5,68445.5,68556.5,631,3050,0,Hydra,M15
2026-02-17 01:00:00,68556.5,68729.5,68491.5,68707.5,1212,3050,0,Hydra,M15
2026-02-17 01:15:00,68702.5,68813.5,68601.5,68610.5,1470,3050,0,Hydra,M15
2026-02-17 01:30:00,68610.5,68707.5,68585.5,68642.5,1339,3050,0,Hydra,M15
2026-02-17 01:45:00,68648.5,68953.5,68648.5,68851.5,1529,3050,0,Hydra,M15
2026-02-17 02:00:00,68852.5,68874.5,68717.5,68863.5,1565,3050,0,Hydra,M15
2026-02-17 02:15:00,68871.5,68897.5,68654.5,68840.5,1460,3150,0,Hydra,M15
2026-02-17 02:30:00,68841.5,68932.5,68782.5,68840.5,1225,3150,0,Hydra,M15
2026-02-17 02:45:00,68839.5,69017.5,68777.5,68851.5,1245,3050,0,Hydra,M15
2026-02-17 03:00:00,68858.5,68972.5,68746.5,68900.5,1161,3050,0,Hydra,M15
2026-02-17 03:15:00,68899.5,68935.5,68802.5,68836.5,918,3050,0,Hydra,M15
2026-02-17 03:30:00,68836.5,68972.5,68789.5,68821.5,925,3150,0,Hydra,M15
2026-02-17 03:45:00,68823.5,68859.5,68537.5,68585.5,1126,3150,0,Hydra,M15
2026-02-17 04:00:00,68587.5,69211.5,68354.5,69090.5,1878,3050,0,Hydra,M15
2026-02-17 04:15:00,69100.5,69153.5,68962.5,69009.5,1582,3050,0,Hydra,M15
2026-02-17 04:30:00,69008.5,69043.5,68868.5,68908.5,1510,3050,0,Hydra,M15
2026-02-17 04:45:00,68908.5,69016.5,68796.5,68796.5,1649,3050,0,Hydra,M15
2026-02-17 05:00:00,68796.5,68826.5,68590.5,68699.5,1477,3050,0,Hydra,M15
2026-02-17 05:15:00,68686.5,68734.5,68537.5,68602.5,1417,3050,0,Hydra,M15
2026-02-17 05:30:00,68599.5,68633.5,68439.5,68531.5,1518,3050,0,Hydra,M15
2026-02-17 05:45:00,68532.5,68548.5,68423.5,68431.5,1357,3050,0,Hydra,M15
2026-02-17 06:00:00,68431.5,68588.5,68342.5,68547.5,1529,3050,0,Hydra,M15
2026-02-17 06:15:00,68547.5,68665.5,68438.5,68553.5,1417,3050,0,Hydra,M15
2026-02-17 06:30:00,68551.5,68552.5,68231.5,68389.5,1672,3050,0,Hydra,M15
