timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,regime,adx,rsi,ema_fast_val,ema_slow_val,bb_upper,bb_lower,bb_mid,risk_mode,hold_reason
2026-03-20T02:27:47.389390+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:27:57.390158+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:27:57.390158+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:28:07.392705+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:28:07.393299+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:28:17.396270+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:28:17.396883+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:28:27.399228+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:28:27.399228+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,4e-05,4e-05,,,,,,,,,,,,,,
2026-03-20T02:28:37.400593+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:28:37.401194+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,2e-05,2e-05,,,,,,,,,,,,,,
2026-03-20T02:28:47.406110+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:28:47.406110+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:28:57.410945+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:28:57.411575+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:29:07.413789+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:29:07.414400+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,2e-05,2e-05,,,,,,,,,,,,,,
2026-03-20T02:29:17.414885+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:29:17.415501+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,2e-05,2e-05,,,,,,,,,,,,,,
2026-03-20T02:29:27.418600+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:29:27.418600+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:29:37.419337+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:29:37.419337+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,4e-05,4e-05,,,,,,,,,,,,,,
2026-03-20T02:29:47.422418+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:29:47.423025+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:29:57.425911+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:29:57.426538+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:30:07.430090+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:30:07.430715+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:30:17.432581+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:30:17.433187+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,4e-05,4e-05,,,,,,,,,,,,,,
2026-03-20T02:30:27.436310+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:30:27.436912+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:30:37.440706+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:30:37.441335+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:30:47.442304+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:30:47.442946+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:30:57.444208+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:30:57.444834+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:31:07.448014+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:31:07.448627+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:31:17.449907+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:31:17.449907+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
2026-03-20T02:31:27.451244+00:00,XAUUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,
2026-03-20T02:31:27.451845+00:00,EURUSD,hydra,143447,M1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0,0,,,,,,,,,,,,,,,,1e-05,1e-05,,,,,,,,,,,,,,
