trades,win_rate,avg_r,total_r,profit_factor,max_drawdown_r,avg_bars_held,asset,signal,dir_filters,bool_filters,variant
1817,0.5393505778756191,0.07504702044674821,136.3604361517415,1.165557538781787,-14.0,3.1265822784810124,XAU,cci_reversal,h1_trend,london_ny,cci_reversal|dir=h1_trend|bool=london_ny
425,0.5364705882352941,0.0649492756040149,27.60344213170633,1.1423061960377543,-17.636874624343825,3.1788235294117646,XAU,rsi_reversal_30_70,h1_trend,london_ny,rsi_reversal_30_70|dir=h1_trend|bool=london_ny
1378,0.5362844702467344,0.07432315076088847,102.4173017485043,1.1627522827012486,-18.0,2.9267053701015966,XAU,bb_rsi_combo,h1_trend,none,bb_rsi_combo|dir=h1_trend|bool=none
721,0.5339805825242718,0.0637291168848763,45.94869327399581,1.1394640577401394,-14.326509783058329,3.1692094313453536,XAU,cci_reversal,h1_trend,"h1_range,london_ny",cci_reversal|dir=h1_trend|bool=h1_range+london_ny
1569,0.5334608030592735,0.06490443795842567,101.83506315676988,1.1401219300190324,-20.0,2.862970044614404,XAU,stoch_reversal,h1_trend,london_ny,stoch_reversal|dir=h1_trend|bool=london_ny
1355,0.5328413284132841,0.06320217992821421,85.63895380273026,1.1373757622816048,-20.226240094040122,3.1874538745387455,XAU,ema_trend_pullback,"m5_trend,h1_trend",h1_strong,ema_trend_pullback|dir=m5_trend+h1_trend|bool=h1_strong
316,0.5284810126582279,0.05704502604563131,18.026228230419495,1.122975058197148,-12.23668763577489,3.0063291139240507,XAU,macd_ema_confirm,"m5_trend,h1_trend","h1_strong,london_ny",macd_ema_confirm|dir=m5_trend+h1_trend|bool=h1_strong+london_ny
3497,0.5241635687732342,0.04713676904008433,164.8372813331749,1.1006642443468837,-35.06812841948824,3.164998570203031,XAU,ema_trend_pullback,"m5_trend,h1_trend",none,ema_trend_pullback|dir=m5_trend+h1_trend|bool=none
3415,0.5232796486090776,0.04523280555350496,154.47003096521942,1.0959142250927731,-30.443853444545553,2.9551976573938505,XAU,stoch_reversal,none,h1_range,stoch_reversal|dir=none|bool=h1_range
625,0.52,0.03651093129338246,22.81933205836404,1.0766371283582423,-19.0,2.8752,XAU,bb_rsi_combo,h1_trend,london_ny,bb_rsi_combo|dir=h1_trend|bool=london_ny
695,0.5194244604316547,0.04240758154475165,29.473269173602397,1.0897829469192075,-20.227895320542352,3.018705035971223,XAU,macd_ema_confirm,"m5_trend,h1_trend",h1_strong,macd_ema_confirm|dir=m5_trend+h1_trend|bool=h1_strong
1797,0.5164162493043962,0.03036871164553226,54.57257482702147,1.06332002237854,-34.93561853770714,2.898720089037284,XAU,macd_ema_confirm,"m5_trend,h1_trend",none,macd_ema_confirm|dir=m5_trend+h1_trend|bool=none
8596,0.5136109818520243,0.026709563137806328,229.5954047325832,1.0556110065302002,-47.510055656962635,2.954164727780363,XAU,stoch_reversal,none,none,stoch_reversal|dir=none|bool=none
3600,0.5125,0.02274003031753894,81.86410914314018,1.0475129092045046,-50.7473839767501,3.1783333333333332,XAU,cci_reversal,none,h1_range,cci_reversal|dir=none|bool=h1_range
2475,0.5115151515151515,0.01937377537126593,47.950094043883176,1.040103637618471,-65.65467790874537,3.1232323232323234,XAU,rsi_reversal_30_70,none,none,rsi_reversal_30_70|dir=none|bool=none
3978,0.5113122171945701,0.01952618826275414,77.67517690923597,1.0404947989557993,-31.167516285645107,3.1128707893413776,XAU,cci_reversal,none,london_ny,cci_reversal|dir=none|bool=london_ny
3643,0.5111172110897612,0.02315934380869717,84.3694894950838,1.048048977162953,-33.599795131963276,2.9571781498764755,XAU,bb_rsi_combo,none,none,bb_rsi_combo|dir=none|bool=none
1177,0.5097706032285472,0.014426957653350553,16.9805291579936,1.0297757537873689,-38.31492714349468,3.084961767204758,XAU,rsi_reversal_30_70,none,london_ny,rsi_reversal_30_70|dir=none|bool=london_ny
155,0.5096774193548387,0.014156522214634724,2.1942609432683824,1.029237274764219,-13.724612531276474,3.0451612903225804,XAU,rsi_reversal_30_70,h1_trend,"h1_range,london_ny",rsi_reversal_30_70|dir=h1_trend|bool=h1_range+london_ny
9069,0.5092071893262763,0.01580939240124031,143.37537968684836,1.032712362551592,-45.22003339395528,3.1598853236299482,XAU,cci_reversal,none,none,cci_reversal|dir=none|bool=none
965,0.5005181347150259,-0.003554827133124902,-3.4304081834655307,0.9927952479105674,-66.12139508657853,3.1316062176165804,XAU,rsi_reversal_30_70,none,h1_range,rsi_reversal_30_70|dir=none|bool=h1_range
240,0.49583333333333335,-0.008777368138639755,-2.1065683532735413,0.9824105706706611,-15.77471561460188,2.8208333333333333,XAU,bb_rsi_combo,h1_trend,"h1_range,london_ny",bb_rsi_combo|dir=h1_trend|bool=h1_range+london_ny
3777,0.4932486100079428,-0.013479179278570615,-50.910860135161215,0.9731223266679518,-78.67607598292201,2.8819168652369607,XAU,stoch_reversal,none,london_ny,stoch_reversal|dir=none|bool=london_ny
1640,0.4926829268292683,-0.01588278789688091,-26.04777215088469,0.9683427070259045,-63.26497561288073,2.8810975609756095,XAU,bb_rsi_combo,none,london_ny,bb_rsi_combo|dir=none|bool=london_ny
1438,0.4902642559109875,-0.020522546217324047,-29.51142146051198,0.9593523779741007,-70.0955078437895,2.9186369958275384,XAU,bb_rsi_combo,none,h1_range,bb_rsi_combo|dir=none|bool=h1_range
420,0.4880952380952381,-0.023690400691847566,-9.949968290575978,0.9533419882622972,-40.73489988164211,3.05,XAU,macd_ema_confirm,"m5_trend,h1_trend","high_vol,london_ny",macd_ema_confirm|dir=m5_trend+h1_trend|bool=high_vol+london_ny
5935,0.48795282224094355,-0.024374332529962094,-144.66166356532503,0.9516584920071648,-181.39359953191004,3.1208087615838247,XAU,ema_trend_pullback,none,none,ema_trend_pullback|dir=none|bool=none
3076,0.4850455136540962,-0.030791182591364666,-94.71367765103771,0.939720821197061,-107.89247476692249,2.860208062418726,XAU,macd_ema_confirm,none,none,macd_ema_confirm|dir=none|bool=none
