timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-22T03:56:43.724089+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69323.85,,,,54.33328064816774,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:56:54.199266+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69323.98,,,,54.34040720560178,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:57:04.757999+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69324.02,,,,54.34259954503806,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:57:04.760190+00:00,XAUUSD,viper,144388,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,11.147004802187999,0,,,,,,,,,,,,,,,,0.39,0.39,4503.38,4503.9,4494.66,4497.71,,,,38.06683169110966,,,,,,,,,,,,,,,,,,,,,SELL,,,,,35.04,breakout_not_broken;pullback_not_near_ema;momentum_volume_low
2026-03-22T03:57:15.230740+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69316.47,,,,53.925031002239436,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:57:25.898982+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69316.34,,,,53.917774180723875,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:57:36.389291+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69326.25,,,,54.46449031930462,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:57:46.863826+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69328.24,,,,54.57271458648898,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:57:57.329675+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69342.18,,,,55.31664097190815,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:58:07.801293+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69341.7,,,,55.291430416382106,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:58:18.352896+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69342.04,,,,55.309290830659535,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:58:28.837129+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76121654632067,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.2,69308.64,69351.99,,,,55.82572426899423,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:58:39.395934+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69351.46,,,,55.798516887969846,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:58:49.878012+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69334.48,,,,54.908760131463325,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:58:49.880382+00:00,XAUUSD,viper,144388,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,11.147004802187999,0,,,,,,,,,,,,,,,,0.39,0.39,4503.38,4503.9,4494.66,4497.71,,,,38.06683169110966,,,,,,,,,,,,,,,,,,,,,SELL,,,,,35.04,breakout_not_broken;pullback_not_near_ema;momentum_volume_low
2026-03-22T03:59:00.370058+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69334.64,,,,54.917311321511185,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
