timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-31T07:14:41.075690+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.801388789508717,0,,,,,,,,,,,,,,,,0.37,0.41,4556.59,4557.39,4550.19,4550.95,,,,39.16059502940581,,,,,,,,,,,,,,4560.146914860513,,,,,,,BUY,,,,,14.83,pullback_h1_trend_filtered
2026-03-31T07:14:51.664419+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,100.77504565316784,0,,,,,,,,,,,,,,,,22.0,22.0,67367.91,67393.78,67231.49,67308.94,,,,33.459673660549996,,,,,,,,,,,,,,67478.27704207243,,,,,,,BOTH,,,,,24.03,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:14:52.247718+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.801388789508717,0,,,,,,,,,,,,,,,,0.34,0.34,4556.59,4557.39,4550.19,4552.44,,,,40.35953698156627,,,,,,,,,,,,,,4560.288819622418,,,,,,,BUY,,,,,14.83,pullback_h1_trend_filtered
2026-03-31T07:15:03.080024+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,93.649681420355,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67284.16,67283.14,67283.74,,,,32.19709311822824,,,,,,,,,,,,,,67457.56448891234,,,,,,,BOTH,,,,,25.37,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:03.602358+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.407718420802351,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4553.65,4552.36,4553.65,,,,41.91477315269362,,,,,,,,,,,,,,4559.656551094124,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:14.144977+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,97.9553957060692,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67227.2,67232.02,,,,29.6920252701006,,,,,,,,,,,,,,67452.63877462663,,,,,,,BOTH,,,,,25.39,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:14.659114+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.489146992230946,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4552.03,4552.03,,,,39.99665679642929,,,,,,,,,,,,,,4559.502265379838,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:25.230939+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,97.9553957060692,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67227.2,67254.34,,,,30.71998542142299,,,,,,,,,,,,,,67454.76448891233,,,,,,,BOTH,,,,,25.39,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:25.810984+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.525575563659468,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.52,4552.26,,,,40.19941217790455,,,,,,,,,,,,,,4559.524170141743,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:36.348527+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,97.9553957060692,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67227.2,67261.4,,,,31.060119456013666,,,,,,,,,,,,,,67455.43686986472,,,,,,,BOTH,,,,,25.39,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:37.031417+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.525575563659468,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.52,4552.81,,,,40.84386815480269,,,,,,,,,,,,,,4559.576551094124,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:47.461535+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,97.9553957060692,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67227.2,67283.28,,,,32.16378860027294,,,,,,,,,,,,,,67457.52067938853,,,,,,,BOTH,,,,,25.39,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:47.980511+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.525575563659468,0,,,,,,,,,,,,,,,,0.37,0.42,4552.51,4554.46,4551.52,4553.6,,,,41.85211525541303,,,,,,,,,,,,,,4559.651789189362,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:15:58.660536+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,97.9553957060692,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67227.2,67270.32,,,,31.500786565458526,,,,,,,,,,,,,,67456.28639367425,,,,,,,BOTH,,,,,25.39,pullback_not_near_ema;momentum_volume_low
