time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe,symbol
2022-02-25 13:00:00,1910.12,1913.91,1892.84,1898.92,7667,5,0,Hydra,H1,XAUUSD
2022-02-25 14:00:00,1898.92,1906.95,1894.9,1895.72,8171,5,0,Hydra,H1,XAUUSD
2022-02-25 15:00:00,1895.83,1897.92,1886.14,1887.72,12154,5,0,Hydra,H1,XAUUSD
2022-02-25 16:00:00,1887.6,1893.64,1885.09,1889.03,13397,5,0,Hydra,H1,XAUUSD
2022-02-25 17:00:00,1889.04,1890.46,1882.86,1889.28,11747,5,0,Hydra,H1,XAUUSD
2022-02-25 18:00:00,1889.31,1890.48,1883.26,1884.41,7822,5,0,Hydra,H1,XAUUSD
2022-02-25 19:00:00,1884.41,1888.38,1883.06,1887.37,6674,5,0,Hydra,H1,XAUUSD
2022-02-25 20:00:00,1887.37,1889.4,1885.77,1886.63,5996,5,0,Hydra,H1,XAUUSD
2022-02-25 21:00:00,1886.63,1890.91,1886.63,1890.63,4134,5,0,Hydra,H1,XAUUSD
2022-02-25 22:00:00,1890.63,1892.88,1889.42,1890.69,4943,5,0,Hydra,H1,XAUUSD
2022-02-25 23:00:00,1890.67,1890.93,1886.73,1888.25,2089,5,0,Hydra,H1,XAUUSD
2022-02-28 01:00:00,1919.79,1926.69,1904.23,1910.15,4607,5,0,Hydra,H1,XAUUSD
2022-02-28 02:00:00,1910.06,1919.36,1907.28,1917.5,5180,5,0,Hydra,H1,XAUUSD
2022-02-28 03:00:00,1917.5,1917.6,1906.09,1913.29,6245,5,0,Hydra,H1,XAUUSD
2022-02-28 04:00:00,1913.29,1913.49,1908.51,1909.48,4326,5,0,Hydra,H1,XAUUSD
2022-02-28 05:00:00,1909.48,1910.65,1904.58,1907.41,3920,5,0,Hydra,H1,XAUUSD
2022-02-28 06:00:00,1907.38,1911.59,1906.07,1911.12,3170,5,0,Hydra,H1,XAUUSD
2022-02-28 07:00:00,1911.12,1911.89,1906.13,1908.02,3830,5,0,Hydra,H1,XAUUSD
2022-02-28 08:00:00,1908.02,1910.05,1906.87,1908.7,4150,5,0,Hydra,H1,XAUUSD
2022-02-28 09:00:00,1908.7,1908.85,1893.16,1896.4,8098,5,0,Hydra,H1,XAUUSD
2022-02-28 10:00:00,1896.33,1902.05,1894.82,1900.34,7079,5,0,Hydra,H1,XAUUSD
2022-02-28 11:00:00,1900.33,1901.97,1898.47,1899.6,4594,5,0,Hydra,H1,XAUUSD
2022-02-28 12:00:00,1899.61,1908.95,1898.84,1906.46,5001,5,0,Hydra,H1,XAUUSD
2022-02-28 13:00:00,1906.52,1908.99,1903.92,1905.63,4782,5,0,Hydra,H1,XAUUSD
2022-02-28 14:00:00,1905.73,1914.01,1904.34,1913.28,5586,5,0,Hydra,H1,XAUUSD
2022-02-28 15:00:00,1913.29,1918.25,1908.26,1917.24,10232,5,0,Hydra,H1,XAUUSD
2022-02-28 16:00:00,1917.29,1917.44,1908.09,1910.52,12152,5,0,Hydra,H1,XAUUSD
2022-02-28 17:00:00,1910.52,1916.88,1905.41,1908.31,11318,5,0,Hydra,H1,XAUUSD
2022-02-28 18:00:00,1908.34,1908.45,1890.99,1892.84,11536,5,0,Hydra,H1,XAUUSD
2022-02-28 19:00:00,1892.83,1899.24,1890.86,1899.23,8213,5,0,Hydra,H1,XAUUSD
2022-02-28 20:00:00,1899.23,1900.43,1897.04,1898.77,5731,5,0,Hydra,H1,XAUUSD
2022-02-28 21:00:00,1898.77,1906.54,1898.04,1906.49,5225,5,0,Hydra,H1,XAUUSD
2022-02-28 22:00:00,1906.46,1910.11,1904.64,1909.92,6619,5,0,Hydra,H1,XAUUSD
2022-02-28 23:00:00,1910.01,1910.93,1906.73,1908.26,3249,5,0,Hydra,H1,XAUUSD
2022-03-01 01:00:00,1908.3,1908.7,1905.76,1906.24,1047,8,0,Hydra,H1,XAUUSD
2022-03-01 02:00:00,1906.24,1907.79,1905.11,1905.42,2276,5,0,Hydra,H1,XAUUSD
2022-03-01 03:00:00,1905.39,1905.82,1902.64,1902.92,3654,5,0,Hydra,H1,XAUUSD
2022-03-01 04:00:00,1902.89,1904.01,1901.39,1903.43,2744,5,0,Hydra,H1,XAUUSD
2022-03-01 05:00:00,1903.45,1905.77,1902.81,1905.64,2163,5,0,Hydra,H1,XAUUSD
2022-03-01 06:00:00,1905.64,1906.64,1904.57,1905.55,1460,5,0,Hydra,H1,XAUUSD
2022-03-01 07:00:00,1905.56,1907.6,1904.58,1907.08,2316,5,0,Hydra,H1,XAUUSD
2022-03-01 08:00:00,1907.08,1908.74,1904.66,1907.73,2958,5,0,Hydra,H1,XAUUSD
2022-03-01 09:00:00,1907.78,1908.54,1906.26,1907.68,3605,5,0,Hydra,H1,XAUUSD
2022-03-01 10:00:00,1907.68,1914.19,1907.17,1912.58,5580,5,0,Hydra,H1,XAUUSD
2022-03-01 11:00:00,1912.58,1918.65,1911.96,1916.25,6064,5,0,Hydra,H1,XAUUSD
2022-03-01 12:00:00,1916.23,1925.27,1915.38,1925.2,7588,5,0,Hydra,H1,XAUUSD
2022-03-01 13:00:00,1925.2,1926.32,1920.07,1920.23,8419,5,0,Hydra,H1,XAUUSD
2022-03-01 14:00:00,1920.23,1923.75,1911.05,1916.37,8215,5,0,Hydra,H1,XAUUSD
2022-03-01 15:00:00,1916.36,1922.04,1912.36,1916.83,11231,5,0,Hydra,H1,XAUUSD
2022-03-01 16:00:00,1916.83,1927.03,1916.14,1924.08,12138,5,0,Hydra,H1,XAUUSD
2022-03-01 17:00:00,1924.08,1929.86,1917.97,1926.59,12977,5,0,Hydra,H1,XAUUSD
2022-03-01 18:00:00,1926.68,1934.9,1923.27,1931.43,11288,5,0,Hydra,H1,XAUUSD
2022-03-01 19:00:00,1931.51,1935.45,1929.72,1934.78,10104,5,0,Hydra,H1,XAUUSD
2022-03-01 20:00:00,1934.79,1942.74,1934.33,1942.03,9689,5,0,Hydra,H1,XAUUSD
2022-03-01 21:00:00,1942.03,1942.09,1936.57,1940.35,7718,5,0,Hydra,H1,XAUUSD
2022-03-01 22:00:00,1940.32,1946.4,1939.17,1945.46,7046,5,0,Hydra,H1,XAUUSD
2022-03-01 23:00:00,1945.58,1950.17,1940.08,1945.17,2956,5,0,Hydra,H1,XAUUSD
2022-03-02 01:00:00,1942.98,1944.27,1941.87,1942.29,1944,5,0,Hydra,H1,XAUUSD
2022-03-02 02:00:00,1942.33,1943.76,1934.74,1935.06,4281,5,0,Hydra,H1,XAUUSD
2022-03-02 03:00:00,1935.12,1936.04,1930.97,1935.57,6177,5,0,Hydra,H1,XAUUSD
2022-03-02 04:00:00,1935.56,1940.59,1934.35,1938.11,5676,5,0,Hydra,H1,XAUUSD
2022-03-02 05:00:00,1938.11,1938.28,1933.47,1935.71,3930,5,0,Hydra,H1,XAUUSD
2022-03-02 06:00:00,1935.69,1937.85,1935.22,1936.32,2582,5,0,Hydra,H1,XAUUSD
2022-03-02 07:00:00,1936.3,1938.3,1933.28,1934.65,3862,5,0,Hydra,H1,XAUUSD
2022-03-02 08:00:00,1934.69,1940.22,1931.91,1937.85,5995,5,0,Hydra,H1,XAUUSD
