time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe,volume,timestamp,symbol,timestamp_utc,bot,account,symbol_root,source_file,source_size_bytes,source_priority,non_null_count,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
,67518.84,67533.24,67492.9,67501.5,,22.0,,viper,M5,,2026-03-30T14:56:12.130735+00:00,BTCUSD,2026-03-30 14:56:12.130735+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,176.15606238040553,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67533.24,67492.9,67501.5,,,,47.92157830848532,,,,,,,,,,,,,,67511.67651463834,,,,,,,BUY,,,,,34.23,pullback_h1_trend_filtered
,67888.46,68149.52,67077.61,67517.42,,22.0,,anaconda,H4,,2026-03-30T14:56:21.551274+00:00,BTCUSD,2026-03-30 14:56:21.551274+00:00,anaconda,144389,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\anaconda\anaconda_signals_2026-03-30.csv,130323,0,35,HOLD,HOLD,NONE,0.0,869.5417986205298,0.0,,,,,,,,,,,,,,,,22.0,67888.46,68149.52,67077.61,67517.42,68319.4906152921,69337.16568670052,1017.6750714084192,60.19394183742767,67636.7,64988.68,4.0,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
,67518.84,67533.24,67492.9,67522.76,,22.0,,viper,M5,,2026-03-30T14:56:23.357140+00:00,BTCUSD,2026-03-30 14:56:23.357140+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,176.15606238040553,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67533.24,67492.9,67522.76,,,,48.71699020723616,,,,,,,,,,,,,,67513.7012765431,,,,,,,BUY,,,,,34.23,pullback_weak_candle;momentum_volume_low
,67518.84,67557.02,67492.9,67557.02,,22.0,,viper,M5,,2026-03-30T14:56:34.600641+00:00,BTCUSD,2026-03-30 14:56:34.600641+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,177.85463380897687,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67557.02,67492.9,67557.02,,,,50.03266899642568,,,,,,,,,,,,,,67516.96413368596,,,,,,,BUY,,,,,34.13,pullback_structure_not_confirmed;momentum_volume_low
,67518.84,67639.32,67492.9,67639.32,,22.0,,viper,M5,,2026-03-30T14:56:45.797810+00:00,BTCUSD,2026-03-30 14:56:45.797810+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,183.73320523754853,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67639.32,67492.9,67639.32,,,,52.933363597493496,,,,,,,,,,,,,,67524.80222892406,,,,,,,BUY,,,,,33.5,pullback_structure_not_confirmed;momentum_volume_low
,67518.84,67703.11,67492.9,67703.11,,22.0,,viper,M5,,2026-03-30T14:56:56.896881+00:00,BTCUSD,2026-03-30 14:56:56.896881+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,188.28963380897665,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67703.11,67492.9,67703.11,,,,54.95996054219247,,,,,,,,,,,,,,67530.8774670193,,,,,,,BUY,,,,,33.08,pullback_structure_not_confirmed;momentum_volume_low
,67518.84,67711.58,67492.9,67674.4,,22.0,,viper,M5,,2026-03-30T14:57:08.077191+00:00,BTCUSD,2026-03-30 14:57:08.077191+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,188.89463380897672,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67711.58,67492.9,67674.4,,,,54.06987355421261,,,,,,,,,,,,,,67528.14318130501,,,,,,,BUY,,,,,33.02,pullback_structure_not_confirmed;momentum_volume_low
,67518.84,67711.58,67492.9,67676.49,,22.0,,viper,M5,,2026-03-30T14:57:19.234355+00:00,BTCUSD,2026-03-30 14:57:19.234355+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,188.89463380897672,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67711.58,67492.9,67676.49,,,,54.13585473568048,,,,,,,,,,,,,,67528.34222892406,,,,,,,BUY,,,,,33.02,pullback_structure_not_confirmed;momentum_volume_low
,67518.84,67719.91,67492.9,67719.86,,22.0,,viper,M5,,2026-03-30T14:57:30.220687+00:00,BTCUSD,2026-03-30 14:57:30.220687+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,189.48963380897683,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67719.91,67492.9,67719.86,,,,55.46349886058576,,,,,,,,,,,,,,67532.47270511453,,,,,,,BUY,,,,,32.97,pullback_structure_not_confirmed;momentum_volume_low
,67518.84,67849.3,67492.9,67849.3,,22.0,,viper,M5,,2026-03-30T14:57:41.271463+00:00,BTCUSD,2026-03-30 14:57:41.271463+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,198.73177666611969,0.0,,,,,,,,,,,,,,,,22.0,67518.84,67849.3,67492.9,67849.3,,,,59.00523240277919,,,,,,,,,,,,,,67544.80032416215,,,,,,,BUY,,,,,33.55,pullback_structure_not_confirmed;momentum_volume_low
