timestamp,symbol,direction,entry,sl,tp,pnl,outcome,close,ema8,ema20,ema50,rsi,atr,adx,volume_ratio,ema8_ema20_diff,close_ema20_diff,h1_trend,spread,bar_range,bar_body
2026-03-30T04:28:55.259048+00:00,BTCUSD,BUY,66991.0,66813.2,67524.41,2672.5,WIN,67524.5,67311.237575,67149.212903,66856.980447,71.6,159.831324,61.62,0.63,1.0137,2.348,BUY,3450,1.3264,1.3201
2026-03-30T08:07:39.384617+00:00,BTCUSD,BUY,67567.0,67453.76,67906.73,477.5,WIN,67664.5,67489.210524,67393.079813,67292.315271,69.48,123.385822,60.15,1.04,0.7791,2.1998,BUY,3150,1.2238,0.3242
2026-03-30T11:56:26.286915+00:00,BTCUSD,BUY,67542.0,67427.77,67868.7,-162.5,LOSS,67552.5,67545.693729,67500.880922,67460.376182,55.23,113.193631,42.09,0.28,0.3959,0.456,BUY,3150,0.7333,0.3092
2026-03-30T16:37:07.248731+00:00,BTCUSD,SELL,67265.5,67436.72,66751.83,-777.47,LOSS,67401.5,67376.421666,67439.496598,67501.922372,46.91,158.351479,18.19,0.24,-0.3983,-0.24,BUY,3150,0.5178,0.4231
2026-03-30T18:59:23.657265+00:00,BTCUSD,SELL,66628.5,66779.17,66176.5,-54.97,LOSS,66564.5,66613.895668,66743.961001,67013.809823,34.18,152.012816,41.21,0.68,-0.8556,-1.1806,SELL,3150,0.7631,0.1645
2026-03-31T00:20:01.150782+00:00,BTCUSD,SELL,66477.5,66597.87,66116.4,-607.5,LOSS,66575.5,66618.832227,66638.979724,66669.197857,45.28,114.554266,26.49,0.02,-0.1759,-0.5541,SELL,3250,0.2357,0.1833
2026-03-31T08:41:18.549579+00:00,BTCUSD,SELL,67271.5,67389.12,66918.63,1767.5,WIN,66882.5,67118.793381,67226.062916,67337.524669,26.33,129.027285,59.57,0.45,-0.8314,-2.6627,SELL,3150,0.93,0.6665
2026-03-31T11:11:20.693400+00:00,BTCUSD,SELL,66302.5,66452.4,65852.8,-752.5,LOSS,66372.5,66299.127401,66359.781177,66648.892841,47.22,147.152414,17.66,0.31,-0.4122,0.0864,SELL,6350,1.862,1.3455
2026-03-31T15:02:08.818798+00:00,BTCUSD,SELL,66466.5,66713.3,65726.1,-713.46,LOSS,66684.5,66882.610363,66991.860838,66900.048654,42.02,243.891631,22.24,0.54,-0.4479,-1.2602,SELL,3150,0.7052,0.7052
2026-04-01T02:08:51.180880+00:00,BTCUSD,SELL,67719.5,67860.29,67297.13,-770.36,LOSS,67823.5,67834.951169,67931.305539,67989.906704,41.24,134.833459,42.13,0.75,-0.7146,-0.7995,BUY,4050,0.8307,0.3189
2026-04-01T12:44:58.973654+00:00,BTCUSD,SELL,68284.5,68408.14,67913.59,-852.5,LOSS,68640.5,68496.711895,68523.428395,68541.265895,54.75,145.019024,8.21,1.22,-0.1842,0.8073,BUY,5750,2.9169,2.7169
2026-04-01T13:53:09.860526+00:00,BTCUSD,SELL,68004.5,68201.7,67412.9,-1032.5,LOSS,68220.5,68269.183549,68362.078423,68448.289051,43.97,207.436849,17.89,1.09,-0.4478,-0.6825,BOTH,3850,1.4993,1.1714
2026-04-01T16:17:03.563680+00:00,BTCUSD,BUY,68773.0,68583.71,69340.87,-977.5,LOSS,68599.5,68700.690348,68638.998154,68544.432444,49.82,170.305026,13.06,0.37,0.3622,-0.2319,BUY,3250,0.4639,0.2584
2026-04-01T17:06:17.755043+00:00,BTCUSD,BUY,68927.0,68763.9,69416.29,69.48,WIN,68928.5,68879.160805,68789.608651,68651.894632,57.92,177.223243,44.98,0.26,0.5053,0.7837,BUY,5350,0.6997,0.694
2026-04-01T22:00:05.465416+00:00,BTCUSD,BUY,68444.0,68325.46,68799.62,-602.5,LOSS,68325.5,68338.679399,68293.350196,68277.765092,53.75,112.430941,26.22,0.02,0.4032,0.286,BOTH,4350,0.2935,0.2046
2026-04-02T01:18:28.602030+00:00,BTCUSD,SELL,68133.5,68326.16,67555.53,2957.5,WIN,67478.5,68100.424462,68192.056176,68212.56169,26.68,239.2286,57.18,1.46,-0.383,-2.9827,SELL,3150,2.7589,2.7212
2026-04-02T05:02:06.123070+00:00,BTCUSD,SELL,66820.5,66542.12,66225.83,1967.5,WIN,66395.5,66351.622194,66486.468839,66885.841538,38.69,137.640316,36.49,0.32,-0.9797,-0.6609,SELL,3050,0.7265,0.6829
2026-04-02T05:41:04.756673+00:00,BTCUSD,SELL,66436.5,66555.97,66078.08,-612.5,LOSS,66526.5,66435.493395,66456.48657,66759.557636,50.93,126.187894,12.31,0.13,-0.1664,0.5548,SELL,3150,0.7925,0.6736
2026-04-02T11:30:51.029972+00:00,BTCUSD,SELL,66378.5,66488.68,66047.97,-567.5,LOSS,66450.5,66409.031675,66404.616714,66468.621653,52.88,102.423509,37.79,0.21,0.0431,0.448,SELL,3150,0.5467,0.2343
2026-04-02T12:46:01.991047+00:00,BTCUSD,SELL,66134.5,66244.9,65803.31,-562.5,LOSS,66201.5,66158.182604,66210.142896,66329.64387,46.57,109.639389,54.0,0.23,-0.4739,-0.0788,SELL,3050,0.4104,0.1733
2026-04-02T17:01:49.593965+00:00,BTCUSD,BUY,67108.0,66936.68,67621.96,-642.61,LOSS,66924.5,67024.167526,66926.658292,66711.550543,53.21,163.147494,10.64,0.33,0.5977,-0.0132,BOTH,3150,1.0297,0.901
2026-04-02T18:11:19.976456+00:00,BTCUSD,SELL,66586.5,66753.11,66086.66,-862.5,LOSS,66742.5,66795.489678,66890.557264,66802.532793,43.59,163.212872,29.11,0.21,-0.5825,-0.9071,SELL,3150,0.7291,0.6985
2026-04-03T02:13:42.008904+00:00,BTCUSD,SELL,66623.5,66731.55,66299.34,322.5,WIN,66522.5,66559.097629,66658.838038,66766.979353,38.83,116.416999,46.64,1.13,-0.8568,-1.1711,SELL,3550,1.2971,0.6872
2026-04-03T14:36:15.969011+00:00,BTCUSD,BUY,66918.0,66811.21,67238.37,-642.5,LOSS,66810.5,66806.299876,66768.550193,66794.345265,53.06,112.533219,19.23,0.36,0.3355,0.3728,BOTH,3150,1.2885,0.782
2026-04-05T22:47:40.512399+00:00,BTCUSD,BUY,67916.0,67764.33,68371.01,262.5,WIN,67968.5,67688.846814,67589.994586,67487.864825,70.06,163.387538,44.25,1.34,0.605,2.3166,BUY,3150,1.6709,0.2632
2026-04-06T01:03:12.045852+00:00,BTCUSD,BUY,69148.0,68965.52,69695.45,-922.5,LOSS,68948.5,69093.616111,68968.427534,68486.300053,54.56,188.097236,26.3,0.78,0.6656,-0.1059,BUY,3150,0.84,0.5635
2026-04-06T02:41:11.518175+00:00,BTCUSD,BUY,69033.0,68886.62,69488.15,557.5,WIN,69169.5,69146.274823,69039.079563,68768.30407,58.74,164.471158,43.69,0.24,0.6518,0.793,BUY,3150,0.6202,0.4499
2026-04-06T03:18:14.384594+00:00,BTCUSD,BUY,69216.0,69078.06,69629.82,-692.5,LOSS,69115.5,69145.764924,69098.227956,68864.290693,53.99,135.902958,26.22,0.42,0.3498,0.1271,BUY,3150,0.4636,0.0809
